"Lucky Store"
"Company Report"
"From:2026-06-19 00:00"
"To:2026-06-19 23:59"
"","",""
"Sales"
"Sales","","46780"
"Item Discount","","144"
"Net Sales","","46636"
"Total","","46636"
"Count","","49"
"","",""
"Payment"
"Cash","48","45916"
"Gcash","1","720"
"Total","49","46636"
"","",""
"Discount"
"Senior or PWD","2","144"
"Total","2","144"
"","",""
"Expense"
"No Records"
"","",""
"Item"
"Evening: Adult 180","141","25236"
"Evening: Kid's 120","10","1200"
"Kubo 10","1","800"
"Kubo 12","1","800"
"Kubo 13","1","800"
"Kubo 14","1","800"
"Kubo 15","2","1600"
"Kubo 16","1","800"
"Morning: Adult 150","23","3450"
"Rent videoke","1","1000"
"SoftDrinks","7","350"
"Table ","1","350"
"Table 1","1","350"
"Tent 5","1","800"
"Tent 6","1","800"
"Tent 7","1","3500"
"Umbrella 1","1","500"
"Umbrella 2","3","1500"
"Umbrella 3","1","500"
"Umbrella 4","1","500"
"Umbrella 5","1","500"
"Umbrella 6","1","500"
"Total","202","46636"
"","",""
"Jun 19, 2026 20:50"
"Staff: Admin"
